schema_version,dataset,architecture,seed,aggregate_accuracy,train_time_sec,epochs_run,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
1.0,nsl_kdd,dnn,29,0.7735095812633073,203.81,36,0.9724024302337555,0.6750303810136535,9711,0.8259587020648967,0.9615985014049329,7458,0.6563403552251136,0.8407407407407408,2421,0.08061002178649238,0.9736842105263158,2754,0.12,0.7741935483870968,200
1.0,nsl_kdd,dnn,30,0.7720901348474095,125.74,22,0.973844094326022,0.6705190017016449,9711,0.8020917135961384,0.9614271938283511,7458,0.6968194960760017,0.8781884435190005,2421,0.10167029774872913,0.9427609427609428,2754,0.0,nan,200
1.0,nsl_kdd,dnn,31,0.762819375443577,267.84,47,0.9369786839666358,0.6716120460584588,9711,0.8437919013140253,0.9182839632277835,7458,0.634035522511359,0.8243823845327605,2421,0.0915032679738562,0.9655172413793104,2754,0.09,0.9,200
1.0,nsl_kdd,dnn,32,0.7556334279630944,220.77,38,0.9368757079600453,0.6717365623154165,9711,0.8200589970501475,0.9142002989536622,7458,0.6356877323420075,0.8003120124804992,2421,0.09549745824255629,0.7225274725274725,2754,0.095,0.8260869565217391,200
1.0,nsl_kdd,dnn,33,0.7710255500354861,168.63,29,0.9733292142930697,0.6730755536566261,9711,0.8289085545722714,0.9654849289395596,7458,0.6125567947129286,0.814387699066447,2421,0.08823529411764706,0.9566929133858267,2754,0.11,0.9565217391304348,200
1.0,nsl_kdd,dnn,34,0.777235628105039,182.64,32,0.9705488621151271,0.6814402429325428,9711,0.8297130598015554,0.9656679151061174,7458,0.6769929781082198,0.8129960317460317,2421,0.0915032679738562,0.9402985074626866,2754,0.09,0.8571428571428571,200
1.0,nsl_kdd,dnn,35,0.7674769339957417,214.03,38,0.9703429101019463,0.6701514828248346,9711,0.831456154465004,0.9613953488372093,7458,0.5807517554729451,0.8034285714285714,2421,0.0896877269426289,0.9724409448818898,2754,0.125,0.8620689655172413,200
1.0,nsl_kdd,dnn,36,0.7804293825408091,163.54,28,0.972711358253527,0.6876319429278591,9711,0.8390989541432019,0.9629173719033698,7458,0.6422965716646014,0.8184210526315789,2421,0.11256354393609296,0.8179419525065963,2754,0.125,0.8620689655172413,200
1.0,nsl_kdd,dnn,37,0.7829134137686302,180.53,31,0.9742559983523839,0.6827103478135373,9711,0.8364172700455886,0.9598399753808278,7458,0.6914498141263941,0.8819810326659642,2421,0.09041394335511982,0.9803149606299213,2754,0.14,0.8,200
1.0,nsl_kdd,dnn,38,0.7769251242015613,274.87,47,0.9721964782205746,0.6765801920596245,9711,0.831456154465004,0.9634866376631448,7458,0.6538620404791409,0.8542903399892067,2421,0.09731299927378359,0.9745454545454545,2754,0.11,0.8461538461538461,200
1.0,nsl_kdd,dnn,39,0.7727111426543648,109.38,19,0.974050046339203,0.6732863549007047,9711,0.82864038616251,0.9665311229277448,7458,0.6774060305658819,0.8427543679342241,2421,0.05119825708061002,0.9096774193548387,2754,0.0,nan,200
1.0,nsl_kdd,random_forest,0,0.7416163946061036,1.19,,0.9733292142930697,0.6392965843760569,9711,0.7615982837221775,0.9609203180510912,7458,0.5980999586947542,0.8502642395772166,2421,0.049019607843137254,0.9712230215827338,2754,0.02,0.6666666666666666,200
1.0,nsl_kdd,random_forest,1,0.7412171753016323,1.14,,0.9739470703326125,0.6407424971207912,9711,0.7571735049611156,0.9608643865917985,7458,0.6042957455596861,0.83125,2421,0.050835148874364564,0.9859154929577465,2754,0.01,0.5,200
